Year,Text
hospitals, and proper conditions for our doctors and nurses. More research is
required into the causes of disease and the ways to prevent and cure it.

Labour will work specially for the care of Britain's mothers and their
children - children's allowances and school medical and feeding services,
better maternity and child welfare services. A healthy family life must be
fully ensured and parenthood must not be penalised if the population of
Britain is to be prevented from dwindling.

Social Insurance against the Rainy Day

The Labour Party has played a leading part in the long campaign for proper
social security for all - social provision against rainy days, coupled with

http://labourmanifesto.com/1945/1945-labour-manifesto.shtml Page 9 of 12

1945 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:10

economic policies calculated to reduce rainy days to a minimum. Labour led
the fight against the mean and shabby treatment which was the lot of
millions while Conservative Governments were in power over long years. A
Labour Government will press on rapidly with legislation extending social
insurance over the necessary wide field to all.

But great national programmes of education, health and social services are
costly things. Only an efficient and prosperous nation can afford them in full
measure. If, unhappily, bad times were to come, and our opponents were in
power, then, running true to form, they would be likely to cut these social
provisions on the plea that the nation could not meet the cost. That was the
line they adopted on at least three occasions between the wars.

There is no good reason why Britain should not afford such programmes, but
she will need full employment and the highest possible industrial efficiency
in order to do so.

A World of Progress and Peace

No domestic policy, however wisely framed and courageously applied, can
succeed in a world still threatened by war. Economic strife and political and
military insecurity are enemies of peace. We cannot cut ourselves off from
the rest of the world - and we ought not to try.

Now that victory has been won, at so great a cost of life and material
destruction, we must make sure that Germany and Japan are deprived of all
power to make war again. We must consolidate in peace the great war-time
association of the British Commonwealth with the U.S.A. and the U.S.SR.
Let it not be forgotten that in the years leading up to the war the Tories were
so scared of Russia that they missed the chance to establish a partnership
which might well have prevented the war.

We must join with France and China and all others who have contributed to
the common victory in forming an International Organisation capable of
keeping the peace in years to come. All must work together in true
comradeship to achieve continuous social and economic progress.

If peace is to be protected we must plan and act. Peace must not be regarded
as a thing of passive inactivity: it must be a thing of life and action and
work.

An internationally protected peace should make possible a known
expenditure on armaments as our contribution to the protection of peace; an
expenditure that should diminish as the world becomes accustomed to the
prohibition of war through an effective collective security.

The economic well-being of each nation largely depends on world-wide
prosperity. The essentials of prosperity for the world as for individual
nations are high production and progressive efficiency, coupled with steady
improvement in the standard of life, an increase in effective demand, and fair

http://labourmanifesto.com/1945/1945-labour-manifesto.shtml Page 10 of 12

1945 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:10

shares for all who by their effort contribute to the wealth of their community.
We should build a new United Nations, allies in a new war on hunger,
ignorance and want.

The British, while putting their own house in order, must play the part of
brave and constructive leaders in international affairs. The British Labour
Movement comes to the tasks of international organisation with one great
asset: it has a common bond with the working peoples of all countries, who
have achieved a new dignity and influence through their long struggles
against Nazi tyranny.

And in all this worth-while work - whether political, military or economic -
the Labour Party will seek to promote mutual understanding and cordial co-
operation between the Dominions of the British Commonwealth, the
advancement of India to responsible self-government, and the planned
progress of our Colonial Dependencies.

Labour's Call to all Progressives

Quite a number of political parties will be taking part in the coming
Election. But by and large Britain is a country of two parties.

And the effective choice of the people in this Election will be between the
Conservative Party, standing for the protection of the rights of private
economic interest, and the Labour Party, allied with the great Trade Union
and co-operative movements, standing for the wise organisation and use of
the economic assets of the nation for the public good. Those are the two
main parties; and here is the fundamental issue which has to be settled.

The election will produce a Labour Government, a Conservative
Government, or no clear majority for either party: this last might well mean
parliamentary instability and confusion, or another Election.

In these circumstances we appeal to all men and women of progressive
outlook, and who believe in constructive change, to support the Labour
Party. We respect the views of those progressive Liberals and others who
would wish to support one or other of the smaller parties of their choice. But
by so doing they may help the Conservatives, or they may contribute to a
situation in which there is no parliamentary majority for any major issue of
policy.

In the interests of the nation and of the world, we earnestly urge all
progressives to see to it - as they certainly can - that the next Government is
not a Conservative Government but a Labour Government which will act on
the principles of policy set out in the present Declaration.

http://labourmanifesto.com/1945/1945-labour-manifesto.shtml Page 11 of 12

1945 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:10

Political News.co.uk

Copyright © 2001 PoliticalStuff.co.uk . All rights reserved.

http://labourmanifesto.com/1945/1945-labour-manifesto.shtml Page 12 of 12

"
1950,"1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

LabourManifesto.com > 1950 > Manifesto text in a single long file

1950 Labour Party Election
Manifesto

 

Let Us Win Through Together:

A Declaration of Labour Policy for the Consideration of the
Nation

When the Labour Party published Let Us Face the Future in 1945 those five
words were more than the title of the Election Manifesto; they were five
words which crystallised the minds of our people at that time. By hard work,
good sense and self-discipline the people have laid the foundations of a
future based on free social democracy. They have helped Parliament and
Government to carry into effect all the main proposals in that Manifesto.

Now in 1950 the country is facing another General Election. We ask our
fellow citizens to assert in their free exercise of the franchise that by and
large the first majority Labour Government has served the country well. The
task now is to carry the nation through to complete recovery. And that will
mean continued, mighty efforts from us all. The choice for the electors is
between the Labour Party - the party of positive action, of constructive
progress, the true party of the nation - and the Conservative Party - the party
of outdated ideas, of unemployment, of privilege.

The New Moral Order

Socialism is not bread alone. Economic security and freedom from the
enslaving material bonds of capitalism are not the final goals. They are
means to the greater end - the evolution of a people more kindly, intelligent,
free, co-operative, enterprising and rich in culture. They are means to the
greater end of the full and free development of every individual person. We
in the Labour Party - men and women from all occupations and from every
sphere of life - have set out to create a community that relies for its driving
power on the release of all the finer constructive impulses of man. We
believe that all citizens have obligations to fulfil as well as rights to enjoy.

In contrast, the fainthearted feel that only fear of poverty will drive men to
work for the nation. 'Empty bellies'. one Tory has said, 'are the one thing that
will make Britons work.' Labour for its part declares that full employment is
the corner-stone of the new society.

The Labour Government has ensured full employment and fair shares of the
necessities of life. What a contrast with pre-war days! In those days millions

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 1 of 12

1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

of unwanted men eked out their lives in need of the very things they
themselves could have made in the factories that were standing idle.

Even when at work each man often feared that the next pay-day would be
the last. The wife feared that the housekeeping money would suddenly
vanish. Often it did. Her husband was handed his cards, he drew the dole,
then she had to make do with a fraction of her previous money - and despite
all her sacrifices the children suffered. The queue at the Labour Exchange
was repeated in the queue of small traders at the bankruptcy court. Clerks
and professional people saw their hopes destroyed and their savings swept
away by the slump.

Big Business did not believe in Britain - it believed only in profit. So money
went into cinemas, not coal; into luxury flats, not looms for Lancashire; into
land speculation, not into agriculture.

Whatever our Party, all of us old enough to remember are in our hearts
ashamed of those years. They were unhappy years for our country and our
people. They must never come again.

First Five Years

Full employment is the main, but not the only achievement. Six years of war
ate away our wealth - crippled our trade, blitzed our homes and factories,
sank our ships, and axed our overseas investments. The world has been
desperately short of food since the war. But Britain has accomplished a
recovery unsurpassed by any other country. No doubt there have been
mistakes. But judge on what basis you will - by the standard of life of the
general body of citizens, by employment, by the infrequency of serious
industrial disputes, by the stability of the nation, by social security - by any
fair comparison, the British people have done an infinitely better job than
was done after the first World War.

By explaining to the people what needed to be done, by giving the facts, by
appealing to the patriotism of the people, by vigorous, sensible leadership,
the Labour Government has led Britain to the first victories of peace. Now
let us win through together.

WORK FOR ALL

The supreme aim that we set before the nation is the maintenance of full
employment. Here is Labour's policy.

The nation's greatest need is to export more, especially to North America, so
that we can pay for enough food to eat, and enough raw materials to keep
our factories running. Labour will not dodge this problem as Tory
Governments did before the war. If mass unemployment came again, people
would once more be too poor to buy much food from abroad, and idle
factories would not need imported raw materials. If social services were cut,

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 2 of 12

1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

wages slashed and full employment lost we might once again succeed in
masking our overseas trade problem - but only at the cost of human misery,
queues at the Labour Exchange and a nation divided by industrial bitterness.
That was, and still is, the Tory way. It is not ours.

Labour's way - the way of full employment - is to produce more and to
export more, to increase efficiency and to lower costs.

Purchasing power and production must march together. Just as we have
aimed at keeping purchasing power within limits in the last few years when
there have been too few goods and too much money, so we will be prepared
to expand purchasing power if the danger is too little money and too many
goods.

Labour will encourage the introduction of equal pay for equal work by
women when the nation's economic circumstances allow it.

Finance must be the servant and not the master of employment policy. Public
owner ship of the Bank of England has enabled the Government to control
monetary policy. Subject to the will of Parliament, we shall take whatever
measures may be required to control financial forces, so as to maintain full
employment and promote the welfare of the nation.

Publicly owned industry will be ready to expand its investment when
employment policy demands it. The public sector will, by speeding up
necessary capital development, help to maintain employment.

Special measures for areas of special need. The rebuilding of the
Development Areas, which has transformed the lives of many thousands
from destitution to active work, will be vigorously continued. To aid one of
the chief industries in these Areas, a Development Council will be
established for shipbuilding and ship-repairing. Labour will take all steps
necessary to ensure that this great industry is never again neglected as it was
between the wars.

Raise Production - Lower Costs

Unless we continue to increase production as we have done in the last four
years, we cannot improve or even maintain our present standard of life; the
social services cannot advance or even survive; and our national freedom
and independence cannot continue. This is a lob for every one of us, pulling
together. Private enterprise must not shelter behind price rings and rigged
markets. Public enterprise must be vigorous, not easy-going. Drive, public
spirit and initiative are required throughout, and from us all.

There can be no advance without planning. Exports must be sold in the right
markets at the right price, and imports arranged according to our needs. Only
by price control and rationing can fair shares of scarce goods be ensured.
Only control over capital investment, distribution of industry, industrial
building and foreign exchange can enable us to overcome the dollar shortage

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 3 of 12

1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

and build up a permanently thriving national economy. Yet many Tories still
cry ‘Scrap controls'. Nothing could be more disastrous.

Industrial Democracy

We have begun to build up a flourishing partnership between Government,
management and workers. More has to be done, both in public and private
enterprise. Too many managements still pay lip-service to joint consultation
and then do little to make it effective. They should consult with workers'
representatives before decisions affecting them are taken, and not after; they
should make available to these representatives the accounts and records on
which managerial decisions are based. Upon the trade unions lies the
responsibility for further equipping and training their members for service to
industry and the country.

THE SOCIALISED INDUSTRIES

The long decline and demoralisation of the coal industry has been halted. In
1949 out put was 28 million tons higher than in 1945. Output per manshift -
the best measure of efficiency - has gone up steadily and is now above the
1938 level. For the first time British miners are getting a square deal. Justice
for the miner has meant fuel and power for the nation. Nationalisation of
coal has saved British industry from collapse.

The vital electricity and gas industries are able to plan ahead for expansion
on a large scale. Already new generating stations are supplying more
electricity for the home, and more horsepower for our factories.

Britain's public transport system, as road and rail services are increasingly
unified, will bring an ever better service to industry and passengers.

And when private monopoly is replaced by public ownership, the steel
industry will be responsible to the nation.

Labour will not be content until each public enterprise is a model of
efficiency and of social responsibility. The Government must be free to take
all necessary steps to that end. The initiative and public spirit of the
individual manager must be fostered. New leadership should be given its
chance to emerge. The public will be encouraged to make much more use of
the Consumers' Councils which have been created for all nationalised
industries: consumers should assume the important place which is theirs by
right as the owners of the whole concern.

Encouragement for Enterprise

Private enterprise must be set free from the stranglehold of restrictive
monopolies. Labour's aim is to give a fair chance to everybody in industry,
above all to the small concerns which have been the most ruthlessly
exploited by trusts, cartels and rings. The less efficient firms will be helped
to raise themselves to the standards of the best.

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 4 of 12

1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

Development Councils on which management, workers and the public are
represented will be set up, compulsorily if need be. The drive to apply the
results of scientific research throughout industry will be sustained. Technical
education will be extended. The Government will be ready in suitable cases
to provide manufacturers with buildings and general purpose equipment for
sale or hire, as well as finance for approved capital expenditure.

But where private enterprise fails to meet the public interest, the
Government will be empowered to start new competitive public enterprises
in appropriate circumstances. For private and public enterprise to compete
fairly and squarely in the public interest will be good for both.

The Government will also take practical steps to prevent monopolies from
continuing to exploit the public. The Monopolies Commission has been
established to expose anti-social restrictive practices. Monopoly concerns
which cannot be dealt with in other ways will be socialised.

The private sugar monopoly was buttressed by Conservative legislation
which is due to expire early in the next Parliament. We propose that beet
sugar manufacture and sugar refining shall be transferred to national
ownership for the benefit of the consumer. Fair compensation will be paid in
this as in the other cases where it is proposed that an industry should be
transferred from private to public ownership.

The cement industry is controlled by a tightly organised private monopoly
which allows high profits to be made. Labour will convert this essential
industry to public ownership.

One industry which will be carefully examined is the chemical industry. If
necessary to assure vital national interests, Labour will transfer to public
ownership any appropriate sections of this vital industry.

Agriculture and the Countryside

We must grow more food at home. The more we grow the more there will be
to eat, and the more we shall save on imports. The nation's duty to farmers
and landworkers is to give them all the help they need; their duty to the
nation is to produce as much as they can with the greatest possible
efficiency.

Under the Tories agriculture was plunged into a depression from which it
was rescued only by war. Today agriculture is thriving. The hard work of
farmers and farm workers is taking us towards our immediate target of a 50
per cent increase in production over pre-war by 1952. There are and will be
assured markets at guaranteed prices for as much of the main products of our
farms as our farmers can produce. Labour will continue the policies which
have transformed the life of the countryside.

We have not reached the limit of British agricultural capacity. Production
needs to be raised still further. The first method of doing so is by increasing

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 5 of 12

1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

the standard of efficiency. The 1947 Agriculture Act has given ample powers
to ensure good husbandry; they will be used to the full.

In the battle for food the nation cannot afford wasted land. There are still in
Britain many thousands of acres of marginal land - idle at a time when every
productive acre is needed - upon which food can and will, with Government
support, be grown. Where the job is too big for individual farmers to tackle,
public ownership will be used as the means of bringing into sound
cultivation good food-producing land not fully used.

Steps will be taken to promote more efficient marketing and preparation of
horticultural produce.

The country's natural resources must be treated and developed as a whole.
Britain's vital fishing industry will be encouraged so that its efficiency, both
in production and distribution, is further improved. Britain's woodlands will
be developed on a large scale and efficiently run by the Forestry
Commission and by private and municipal owners. Britain's minerals are an
essential and often neglected part of Britain's wealth; all suitable minerals
will be placed in public ownership.

Rural Amenities

A prosperous agriculture is the foundation of the good life for all our country
towns and villages. Labour's aim is to improve the amenities of the
countryside as fast as resources permit. Rural areas will continue to enjoy a
special provision in housing. Every year more out of date rural homes will
be replaced by good houses designed for the housewife and, wherever
possible, grouped together in sociable villages. When the Rent Restrictions
Acts are dealt with in the new Parliament, the position of tied cottages will
be reconsidered and the Unions consulted about the best means of giving to
farmworkers the security in their homes enjoyed by other workers.

Nationalisation is bringing electricity to more homes and farms every year.
In the next five years, more rapid progress will be made with rural
electrification.

Water as a National Service

Far too many rural houses, farm buildings and fields are still without piped
water. There is plenty of water - in times of flood too much - but not enough
in pipes. Great progress has been made in extending piped supplies since
1945. But the work must be speeded up still further and the whole
organisation for the purpose improved. Labour therefore proposes that water
supply should become a wholly public responsibility so that as soon as
possible plentiful water will be brought into every rural area. There will also
be an extension of drainage and sewerage for country homes and farms.

Cost of Living

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 6 of 12

1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

In the last five years we have waged a successful defensive battle against
inflation. Food subsidies, rationing, price control of essentials, rent control,
and the freest possible competition where supplies have been plentiful -
these are all helping to keep down the cost of living.

Food subsidies have saved the average family of four about 14s. a week on
its food bill. Tory spokesmen clamour for large cuts in the subsidies. A vote
for the Tories is thus a vote for dearer food. Labour on the other hand will
continue the present policy of subsidies as long as present circumstances
continue and the need to keep down the cost of living is paramount.

No trade union movement in the world has such a proud record as the
British. With unexampled restraint and loyalty, it has co-operated to hold
wages steady through these difficult years. The great Co-operative
Movement has also exerted a steadying effect on retail prices. It is a fine
example of democratic co-operation to meet the needs of the people.

But many prices are still far too high and a burden to every housewife. Our
aim for the future is to bring down excessive prices, by increasing the
efficiency of production and distribution. Labour proposes to overhaul
distribution in the following ways:

Fruit and Vegetables. More wholesale and retail markets under municipal
or other public ownership, together with improved storage facilities, will
reduce the present waste in marketing.

Cold Stores. The development of cold storage, an essential service in food
distribution, will be effected through public ownership.

Meat Trade. The nation needs larger supplies of better quality meat. Since
the Ministry of Food took over the importing and wholesaling of meat ten
years ago, the job has been done efficiently and economically. The present
system of distribution should be come a permanent public service.

Public Buying. Labour proposes to extend buying by public bodies so that
well-made goods can be supplied to the housewife through the ordinary
distributors at reasonable prices. This will benefit the public and the retailers,
and also maintain the supply of Utility goods.

Retailing. Competition among private retailers will be encouraged. Subject
only to the needs of town planning, any citizen should be able to open a
shop. Anti-social private agreements to keep prices too high will be dealt
with.

Value for Money. An independent Consumer Advice Centre will be set up

to test and report on the various consumer goods on the market. Good
manufacturers will be protected and unscrupulous advertising exposed.

Helping Each Other in Time of Need

Labour has honoured the pledge it made in 1945 to make social security the

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 7 of 12

1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

birthright of every citizen. Today destitution has been banished. The best
medical care is available to everybody in the land.

Great Acts of Parliament - the National Insurance, Industrial Injuries,
National Assistance and National Health Service Acts - have been placed on
the Statute Book. This social legislation has benefited all sections of the
community, including members of the middle classes. Hundreds of
thousands of middle class and professional families have been relieved of
one of their worst anxieties - the fear of the sudden illness, the expensive
operation, the doctors' crippling bills. What is needed now is not so much
new legislation as the wise development, through efficient and economical
administration, of the services provided by these Acts.

Role of Local Authorities

In this task local authorities have a vital role. The necessity to transfer some
functions has not reduced the importance of local authorities. They are
performing essential duties, above all in the expanded services of housing,
education, town planning and health. Councils have been given new powers
to provide fuller opportunities for citizens’ leisure hours. Local government
will continue to be fostered in all possible ways.

The Conservatives say they fought for Social Security. Against whom? Who
was resisting? They voted against /I> the second and third readings of the
National Health Service Bill. A year after taking office, Labour had begun to
pay out family allowances. But the Tory spokesman in the House declaimed
against this as a hasty action and said the same about the increase in old-
age pensions. When devaluation made economies necessary, they clamoured
for more drastic cuts. Can these Conservatives be trusted to safeguard the
welfare of the sick, the poor and the old?

We pledge ourselves to go forward on the sure foundations already laid. The
rate of progress will be determined by one thing only - the productive effort
of the people.

Children First

Labour has placed the needs of our children in the forefront of national
policy. Never before have our babies been so healthy; our youngsters so well
fed, clothed and shod. Labour has raised the school leaving age. New
schools are being built. The door to higher education is being opened ever
wider by the provision of scholarships and grants to Universities. More
teachers are being trained so that the size of classes - often still too large -
can be reduced. Fees in secondary schools have been abolished.

The policy of putting the children at the head of the queue will be continued.
Cheap and free milk and food supplements will go on. Education will in
every way be expanded as fast as our straitened means allow. While
improving physical standards in the schools, we should never forget we are

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 8 of 12

1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

dealing with people, not statistics, and that the community needs more and
more people of individuality who can think for themselves as co-operative
members of our democratic community.

The Old People

Labour has shown its determination to give the old people a square deal.
The guiding principle of our policy is that old age should be a time of
recreation and useful service, not a burden of loneliness and sorrow.
Pensions have been raised for old people - as also for disabled ex-
Servicemen. The Poor Law has gone, and National Assistance stands ready
to help whenever insurance cannot do the full job. Old people have benefited
much from the National Health Service. More labour-saving homes are
being built for old people.

These policies will be continued. And in the next Parliament there will be a
review of the working of the National Insurance Act in the light of the
economic situation at that time. It will be as well not to leave this review to
the Tories; old people know too much of Tory meanness for that.

Industrial Assurance

Those who supplement their standard of life in old age or protect themselves
against any of the hazards of life by voluntary saving through the Industrial
Assurance Offices should receive the best possible return for their money.
The Labour Party, believing that the interests of policyholders should be
paramount, therefore proposes that the Proprietary Companies should be
taken out of the realm of private profit and mutually owned by the
policyholders themselves instead of by private shareholders. The interests of
the staffs will be safeguarded.

A Home for Every Family

Since the war more than a million new homes have been provided. Yet in
spite of this great achievement, the demand for new homes is pressing. We
must move forward until every family has its own separate home, and until
every slum is gone. Rent controls and rent tribunals will be continued. The
law of leasehold will be reformed so as to do justice to householders,
shopkeepers and business men.

Labour intends to see that the countryside is not despoiled, that the fastest
possible progress is made with the great adventure of the New Towns and
that housing estates are developed into communities where people can enjoy
life to the full.

Recreation and the Arts

The Government has already added greatly to opportunity for the full

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 9 of 12

1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

enjoyment of leisure. We shall continue to do all that can legitimately be
done to support the Arts without interfering in any way with the free
expression of the artist.

National Parks will be established in the fairest parts of Britain. Footpaths
will be preserved and access to the countryside will be secured for all hikers
and cyclists. There is also need for more playing fields for the children, and
wherever possible these will be provided. A Holidays Council will be
established to promote more holiday centres with reasonably priced
accommodation for families.

One World of Peace and Plenty

In the days of Munich, when the Tories decided British foreign policy, the
prestige of Britain sank to its lowest ebb for a century or more.

The selfish and cowardly bungling of the Conservative Government landed
us in a war which collective security could have prevented and for which the
Government had not prepared. The Colonies were shamefully neglected and
the democratic aspirations of the Indian people met with continuous
frustration and delay. During the last five years, under Labour leadership,
Britain has regained her moral position in the Western world and has won
the confidence of many millions in Africa and Asia. By applying the moral
principles of Socialism to our relations with other peoples, the Labour
Government has made Britain a symbol of justice and social advance.

We will continue if returned to power, to work realistically for peace. We will
stand firm against any attempt to intimidate us or to undermine our position
in the world. But we will remain ready at any moment to co-operate fully
with Russia, as with any country that is prepared to work with us for peace
and friendship.

Labour believes that the purposes of the United Nations are best served by
still closer associations between friendly countries within the Charter. The
Labour Government has put particular energy into strengthening the
associations of the Commonwealth, the Atlantic community, and Western
Europe. These associations are, we believe, not only compatible but
necessary to each other as bastions of world security.

In Europe great strides have been taken towards the creation of a new
economic and political unity. No country has given more leadership to this
great movement than Labour Britain. We shall continue this support and
leadership in the years to come, always remembering that we are the heart
of a great Commonwealth extending far beyond the boundaries of Europe.

Unity of the Commonwealth

By recognising the desire of Commonwealth countries for complete national
self-determination, the Labour Government has immensely helped to

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 10 of 12

1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

strengthen the essential unity of the Commonwealth. In April, 1949, all the
Commonwealth Prime Ministers welcomed the free choice of India, Pakistan
and Ceylon to join the Commonwealth as full and equal members, and
accepted India's decision to be a Republic while recognising The King as
head of the Commonwealth. These decisions marked an event of epoch-
making importance. They created a bridge of friendship and co-operation
between the peoples of East and West which will prove increasingly essential
as the movement towards world-wide unity proceeds. These decisions would
never have been taken under a Tory Government in Britain.

The natural confidence and mutual affection existing between the peoples of
the Commonwealth are one of the world's greatest assets in its struggle for
stability and peace. We will continue to strengthen these powerful bonds of
union by practical measures of co-operation. Already we have vastly
expanded Commonwealth trade through long-term con tracts and bulk
purchase agreements. Moreover, by finding new sources of supply within the
Commonwealth we are helping to bridge the dollar gap.

In the Colonial territories our purpose is to help in creating the economic
and social basis for democratic self-government. Moreover we believe that
world peace and prosperity will not be secure so long as vast areas are
suffering from bitter poverty.

The Colonies are now engaged in a great ten-year plan of development and
welfare largely financed by Britain. This plan aims to root out poverty,
ignorance and disease. Since 1945, there has been a great increase,
compared with pre-war, in the volume of capital goods sent to the Colonies
to help in raising their production. Trade unionism, co-operation and social
welfare are now fostered so that this new investment shall bring freedom
instead of exploitation. A new confidence and energy are springing up
throughout Britain's territories overseas.

In the whole of our overseas policy we are proud of the new strength that our
country derives from the support of hundreds of millions in all parts of the
world who seek a way of life that is neither capitalist nor communist. To
these millions Labour Britain is a beacon of inspiration and encouragement.

Put the Nation First

We have now set before our fellow citizens the principles and policy upon
which the Labour Party will fight the General Election of 1950.

Our appeal is to all those useful men and women who actively contribute to
the work of the nation. We appeal to manual workers - skilled, semi-skilled
and so-called unskilled; farmers and agricultural workers; active and able
managers and administrators in industry and the public services;
professional workers, technicians and scientists; and housewives and women
workers of all kinds. And just as we in this declaration have put the general
public interest first, we ask the electors of all classes to do the same. For if
they put sectional interests in front of the general good of the people as a

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 11 of 12

1950 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

whole, they will tend to damage, not only the nation, but themselves.

The fundamental question for the men and women of the United Kingdom to
determine when they vote is this: Shall we continue along the road of
ordered progress which the people deliberately chose in 1945, or shall
reaction, the protectors of privilege and the apostles of scarcity economics
be once more placed in the seats of power, to take us back to the bleak years
of poverty and unemployment? Those years must never return.

We are successfully going forward with the great and inspiring adventure of
our time. Let us win through together.

Political News.co.uk

Copyright © 2001 PoliticalStuff.co.uk . All rights reserved.

 

http://labourmanifesto.com/1950/1950-labour-manifesto.shtml Page 12 of 12

"
1951,"1951 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

LabourManifesto.com > 1951 > Manifesto text in a single long file

 

Labour Party Election Manifesto

Labour - proud of its record, sure in its policies - confidently asks the
electors to renew its mandate.

Four major tasks face our nation: to secure peace; to maintain full
employment and increase production; to bring down the cost of living; to
build a just society. Only with a Labour Government can the British people
achieve these aims.

Peace

Our first aim is to save the peace of the world. Labour has striven hard since
1945 to bring all the nations together in world-wide co-operation through the
United Nations. We have had grievous disappointments, particularly with the
Soviet Union, but we shall persevere. We do not for one moment accept the
view that a third world war is inevitable. We arm to save the peace.

The Labour Government decided without hesitation that Britain must play
her full part in the strengthening of collective defence. Britain must be
strong: so must the Commonwealth.

But peace cannot be preserved by arms alone. Peace depends equally on
bringing freedom from poverty to lands where hunger and disease are the lot
of the masses. Britain's Labour Government has given a lead in economic
assistance to these lands. As our armed strength grows, more attention must
be given to the under-developed regions of the world. Only a Labour
Government would do this.

The Tory still thinks in terms of Victorian imperialism and colonial
exploitation. His reaction in a crisis is to threaten force. His narrow outlook
is an obstacle to that world-wide co-operation which alone makes peace
secure. He would have denied freedom to India, Pakistan, Ceylon and
Burma.

It is this that makes the election so critical, not only for the people of Britain
but for the whole world. Anxious eyes will be watching what we do. If the
election were to result in a Tory victory there would be no major power in
the councils of the Western nations represented by Labour.

Surely now, even more than ever before, it is vital to the fate of civilisation

that the voice of Labour should be heard wherever and whenever the issues
of war and peace are discussed between the spokesmen of the Great Powers.

http://labourmanifesto.com/1951/1951-labour-manifesto.shtml Page 1 of 5

1951 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

Full Employment and Production

Full employment through six years of peace is the greatest of all Labour's
achievements. It has never happened before. It has meant a revolution in the
lives of our people. To-day, there are half a million unfilled vacancies at the
employment exchanges. Under Labour - more jobs than workers. Under the
Tories - more workers than jobs.

Largely due to full employment, with everyone contributing to the national
product, production in Britain since 1945 has risen twice as fast each year as
under the Tories. Our industrial and agricultural output is now 50 per cent
above pre-war, but we must do better still to improve our living standards, to
fulfil our obligations in collective defence and to play our part in assisting
under-developed regions. Almost 20 per cent of the national income is now
devoted to new capital equipment for the nation. This is higher than ever in
British history.

World shortage of raw materials has steeply raised the prices of our imports
and re opened the dollar gap. The difficulties are great. But we can conquer
them.

We shall do everything possible to stimulate production at home and to
expand our exports. We shall press on with the development of new sources
of raw materials, particularly within the Commonwealth.

We shall attack monopolies and combines which restrict production and
keep prices and profits too high. We shall prohibit by law the withholding of
supplies to traders who bring prices down.

We shall take over concerns which fail the nation and start new public
enterprises wherever this will serve the national interest. We shall help
industry with scientific and technical aid.

We shall establish Development Councils, by compulsion if necessary,
wherever this will help industrial efficiency.

We shall associate the workers more closely with the administration of
public industries and services.

The British countryside which was being ruined and depopulated before the
war is more prosperous under Labour than ever before. Our farmers and
farmworkers have beaten all records in the production of home-grown food.
We shall continue the policy of guaranteed prices for the farmer and good
conditions of labour for the farmworker.

We shall further extend electricity and water supplies and sewerage in rural
areas. We shall encourage agricultural co-operatives. We shall stop the

creation of new tied cottages under the cottage certificate system as the first
step towards a just and comprehensive solution of the tied cottage problem.

Under the Tories there was never full employment. Year after year millions

http://labourmanifesto.com/1951/1951-labour-manifesto.shtml Page 2 of 5

1951 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:11

